0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
17,13,5,4,1,1,1,1,4,2,1,2,2,1,1,1,0
48,16,1,1,2,0,1,1,4,1,1,2,2,2,1,2,1
44,21,1,0,2,0,1,1,4,1,1,2,2,2,1,1,1
4,2,5,2,2,1,1,1,0,1,1,2,2,0,2,1,0
7,4,5,2,2,7,1,1,0,1,1,2,2,2,2,1,0
18,18,5,17,2,0,1,3,4,2,1,2,2,2,1,2,1
21,19,5,0,2,0,4,1,4,1,2,2,2,2,2,1,0
28,15,1,0,2,0,1,3,4,1,1,2,2,2,1,1,0
21,13,5,7,2,0,1,1,4,2,1,2,2,2,2,9,0
26,19,5,2,2,0,1,1,4,1,1,2,2,2,1,2,0
57,21,2,0,2,0,1,1,3,2,1,2,2,2,2,1,1
82,13,2,0,1,0,1,1,4,1,1,2,2,2,2,1,0
50,19,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
69,16,2,0,2,0,1,1,2,1,1,2,2,2,1,1,1
19,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,1
70,11,2,0,2,0,1,1,4,1,1,2,2,2,1,1,0
59,13,1,1,1,0,1,1,3,1,1,1,2,2,1,1,1
4,2,5,7,2,0,1,1,0,1,1,2,2,0,2,8,0
72,16,1,0,2,0,1,1,4,1,1,2,2,2,1,2,0
14,12,5,2,2,1,1,1,0,3,1,2,2,2,2,1,0
72,14,3,0,1,0,1,1,4,1,1,2,2,1,2,1,0
6,4,5,7,2,0,1,1,0,1,1,2,2,2,2,2,0
51,16,1,1,2,0,1,1,2,1,1,2,2,2,1,1,1
28,17,5,2,2,0,1,1,4,4,1,2,2,2,2,1,1
64,16,1,0,2,0,1,1,4,1,1,2,2,2,2,1,0
78,16,2,0,1,0,1,1,4,1,1,2,1,2,2,1,0
27,18,5,0,2,0,1,1,4,1,1,2,2,2,2,2,0
12,10,5,16,2,0,1,3,0,4,1,2,2,2,2,1,0
69,21,1,0,1,0,1,1,2,1,1,1,2,2,1,1,0
27,19,5,13,2,0,1,3,4,4,1,2,2,2,1,2,1
33,20,1,1,2,0,1,1,4,1,1,2,2,2,1,1,0
60,21,3,0,2,0,1,3,4,1,1,2,2,2,2,1,0
39,18,1,1,2,0,1,1,2,1,1,2,2,2,1,1,1
60,20,3,2,2,0,1,1,4,4,1,2,2,2,2,2,0
76,16,1,0,1,0,1,1,4,1,1,1,2,2,1,1,0
57,16,1,1,2,0,1,1,4,1,1,2,2,2,1,1,1
54,19,5,0,2,0,1,1,4,2,1,2,2,2,1,1,1
40,20,5,2,2,0,1,1,4,1,1,2,2,2,2,2,1
16,16,5,2,2,1,1,1,0,4,1,2,2,2,1,1,0
60,16,3,16,2,0,1,1,4,2,1,2,2,2,1,1,0
31,20,5,13,2,0,1,1,2,4,1,2,2,2,1,1,1
84,20,3,0,2,0,1,1,4,1,1,2,2,2,2,2,0
75,16,2,0,2,0,1,1,4,2,1,2,2,2,2,1,0
77,16,2,8,1,0,1,1,4,4,1,2,2,1,2,1,0
42,21,1,0,2,0,1,1,4,1,1,2,2,2,2,9,1
79,17,1,0,2,0,1,1,4,1,1,2,2,2,2,2,1
17,14,5,2,2,1,1,1,4,2,1,2,2,2,2,1,1
67,18,1,1,2,0,1,1,4,2,1,2,2,2,2,1,0
4,1,5,2,2,7,1,1,0,2,1,2,2,0,1,1,0
2,0,5,2,2,3,3,1,0,1,1,2,2,0,1,2,0
49,17,1,0,1,0,1,1,4,4,1,1,2,2,1,1,0
20,16,5,0,2,0,1,3,4,2,1,2,2,2,1,1,0
53,16,1,0,2,0,1,1,4,1,1,2,2,2,1,1,1
38,16,3,0,2,0,1,3,3,4,1,2,2,2,1,1,1
59,16,5,0,1,0,1,1,4,4,1,2,2,2,2,2,0
61,18,3,0,2,0,1,1,2,1,1,2,2,2,1,1,0
54,15,1,1,2,0,1,1,4,4,1,2,2,2,1,1,1
53,16,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
63,16,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
71,18,1,1,1,0,5,1,4,2,2,2,1,2,2,1,0
71,16,2,6,1,0,1,1,3,2,1,1,2,2,1,1,0
22,16,5,12,2,0,1,1,4,2,1,2,2,2,1,1,1
57,22,1,1,1,0,1,1,4,1,1,2,1,2,2,1,0
62,16,1,1,2,0,1,1,2,1,1,2,2,2,1,2,0
1,0,5,2,2,2,1,1,0,4,1,2,2,0,2,1,0
22,20,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
13,11,5,4,2,2,1,1,0,1,1,2,2,2,1,1,0
5,2,5,4,2,4,1,3,0,1,1,2,2,2,1,1,0
0,0,5,2,2,1,1,0,0,4,1,2,2,0,1,1,0
59,22,1,0,2,0,1,1,4,2,1,2,2,2,2,1,0
18,18,5,17,2,0,1,3,4,1,1,2,2,2,2,2,0
23,16,5,12,2,0,1,1,4,4,1,2,2,2,2,1,0
6,2,5,7,2,7,1,1,0,1,1,2,2,2,1,1,0
0,0,5,2,2,2,1,0,0,4,1,2,2,0,2,1,0
62,19,3,0,2,0,1,1,4,1,1,2,2,2,2,1,1
15,11,5,15,2,0,1,1,0,4,1,2,2,2,1,1,0
67,16,3,0,2,0,1,1,4,1,1,2,2,2,1,2,1
79,19,1,0,2,0,1,1,3,1,1,2,2,2,1,1,1
40,16,1,0,2,0,1,1,4,1,1,2,2,2,2,2,1
55,16,1,1,2,0,1,1,4,1,1,2,2,2,2,1,0
1,0,5,2,2,7,1,1,0,1,1,2,2,0,2,2,0
52,9,1,6,2,0,5,1,4,1,2,2,2,2,2,5,0
83,16,1,0,1,0,1,1,4,1,1,2,2,2,2,2,0
17,14,5,2,2,2,1,1,4,4,1,2,2,2,1,1,0
44,16,5,0,2,0,1,1,4,1,1,2,2,2,1,1,1
74,18,2,0,2,0,1,1,4,1,1,2,2,2,2,1,0
58,19,1,1,2,0,1,1,4,4,1,2,2,2,1,1,0
58,18,1,1,2,0,1,1,4,4,1,2,2,2,2,1,1
68,20,1,1,2,0,1,1,2,4,1,2,2,2,1,1,0
56,18,1,2,1,0,1,1,2,1,1,2,2,2,1,1,0
76,18,2,0,2,0,1,1,4,1,1,2,2,2,2,1,0
87,19,1,0,1,0,1,1,2,1,1,1,2,2,1,1,0
69,16,5,16,1,0,1,3,4,4,1,2,1,2,1,2,0
44,19,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
52,19,1,0,2,0,1,1,4,1,1,2,2,2,2,2,1
43,21,1,0,2,0,1,1,4,4,1,2,2,2,1,1,1
56,19,5,5,2,0,1,1,4,1,1,2,2,2,1,2,1
27,21,1,1,1,0,1,1,4,1,1,2,1,2,2,1,0
59,22,1,1,2,0,1,1,4,1,1,2,2,2,1,2,1
79,14,4,0,2,0,1,3,4,2,1,2,2,2,2,1,0
15,11,5,2,2,1,1,1,0,4,1,2,2,2,1,1,0
60,19,1,0,2,0,1,1,4,3,1,2,2,2,1,1,1
54,18,1,1,1,0,1,1,4,1,1,2,2,1,2,1,0
68,16,5,12,2,0,1,1,4,4,1,2,2,2,2,1,0
22,16,5,12,2,0,1,1,4,3,1,2,2,2,1,1,1
77,19,4,0,2,0,1,1,4,4,1,2,2,2,2,1,0
36,16,3,0,2,0,1,1,4,1,1,2,2,2,2,1,0
58,18,1,1,2,0,1,1,2,1,1,2,2,2,1,1,1
26,1,1,1,2,0,1,1,4,1,1,2,2,2,2,2,1
83,16,2,0,1,0,1,1,4,1,1,2,1,2,2,2,0
53,16,5,12,1,0,1,3,4,4,1,2,2,2,2,2,1
69,18,2,0,2,0,1,1,4,1,1,2,2,2,2,1,0
74,1,1,0,2,0,1,1,2,4,1,2,2,2,1,1,0
81,22,1,0,2,0,1,1,2,2,1,2,2,2,1,1,0
21,16,5,2,2,0,1,1,4,4,1,2,2,2,2,1,1
31,17,5,0,2,0,1,3,4,4,1,2,2,2,2,2,1
24,21,5,2,2,0,1,1,4,1,1,2,2,2,1,2,0
22,16,5,17,2,0,1,3,4,4,1,2,2,2,1,2,0
27,16,3,13,2,0,1,1,4,4,1,2,2,2,2,1,0
67,13,2,0,2,0,1,1,4,1,1,2,2,2,2,1,1
63,17,1,0,1,0,1,1,4,2,1,2,2,1,2,1,0
2,0,5,2,2,1,1,1,0,1,1,2,2,0,2,6,0
11,7,5,4,2,2,1,1,0,1,1,2,2,2,2,1,0
66,20,1,1,2,0,1,1,4,3,1,2,2,2,2,1,0
82,17,1,0,1,0,1,1,2,4,1,1,2,2,1,1,0
6,3,5,2,2,7,1,1,0,1,1,2,2,2,2,2,0
79,20,2,6,1,0,1,3,4,2,1,2,2,2,2,1,0
0,0,5,2,2,1,1,0,0,4,1,2,2,0,1,1,0
50,20,1,1,2,0,1,1,4,1,1,2,2,2,1,1,1
50,16,3,2,2,0,1,1,4,1,1,2,2,2,1,2,1
3,1,5,2,2,8,1,1,0,4,1,2,2,0,1,1,0
36,16,5,12,2,0,1,3,2,4,1,2,2,2,1,1,1
30,19,5,0,2,0,1,1,4,3,1,2,2,2,2,1,1
71,18,3,0,1,0,1,1,4,2,1,2,2,1,2,1,0
67,23,1,0,2,0,1,1,4,1,1,2,2,2,1,1,0
10,8,5,2,2,1,1,1,0,3,1,2,2,2,2,1,0
53,12,1,0,1,0,1,3,4,1,1,1,2,2,1,1,1
11,8,5,2,2,1,1,1,0,4,1,2,2,2,1,1,0
46,20,1,0,2,0,1,1,4,3,1,2,2,2,1,1,1
67,20,5,0,2,0,1,1,4,1,1,2,2,2,2,1,1
51,20,2,0,2,0,1,1,4,1,1,2,2,2,2,1,1
30,18,5,16,2,0,1,3,4,2,1,2,2,2,1,2,0
70,20,3,0,2,0,1,1,2,1,1,2,2,2,1,1,0
55,22,1,0,2,0,1,1,2,1,1,2,2,2,1,1,1
69,1,5,3,1,0,1,1,4,4,1,1,2,1,2,1,0
19,19,5,17,2,0,1,3,4,2,1,2,2,2,1,9,0
55,19,3,0,1,0,1,1,4,1,1,2,1,2,1,1,0
4,2,5,2,2,1,1,3,0,1,1,2,2,0,1,1,0
53,18,2,0,1,0,1,1,4,1,1,2,2,2,2,2,0
5,2,5,7,2,0,1,1,0,4,1,2,2,2,2,7,0
19,16,5,17,2,0,1,3,4,1,1,2,2,2,1,2,0
62,21,2,0,2,0,3,1,2,1,1,2,2,2,1,1,1
1,0,5,2,2,2,1,3,0,2,1,2,2,0,1,1,0
45,19,3,0,1,0,1,1,4,1,1,2,2,1,1,2,0
22,16,5,2,1,0,1,1,4,3,1,2,2,1,1,1,0
81,16,2,0,2,0,1,1,4,4,1,2,2,2,2,1,0
6,3,5,2,2,3,1,1,0,1,1,2,2,2,1,1,0
15,12,5,2,2,8,1,3,0,3,1,2,2,2,1,1,0
70,21,1,0,2,0,1,1,4,2,1,2,2,2,1,1,0
22,16,5,0,2,0,1,3,4,2,1,2,2,2,1,1,1
46,16,4,10,2,0,1,3,4,2,1,2,2,2,2,1,0
57,13,5,0,1,0,1,1,4,4,1,2,2,2,1,2,0
19,19,5,0,2,0,1,3,4,4,1,2,2,2,1,2,0
0,0,5,2,2,1,1,0,0,1,1,2,2,0,1,2,0
73,17,1,0,2,0,1,1,2,2,1,2,2,2,1,1,0
44,19,1,1,2,0,1,3,4,1,1,2,2,2,2,1,0
66,19,1,0,2,0,1,1,4,1,1,2,2,2,1,1,1
51,16,3,15,2,0,1,1,4,4,1,2,2,2,2,1,0
65,21,1,0,1,0,1,1,2,1,1,1,2,2,1,1,0
13,11,5,2,2,1,1,3,0,2,1,2,2,2,1,1,0
43,22,1,1,2,0,1,1,4,1,1,2,2,2,2,1,0
0,0,5,2,2,7,1,0,0,2,1,2,2,0,2,1,0
17,14,5,2,2,1,1,1,4,1,1,2,2,2,1,1,0
73,16,3,0,2,0,1,1,4,4,1,2,2,2,2,2,0
34,16,1,0,2,0,1,1,4,4,1,2,2,2,2,1,0
57,14,5,10,1,0,1,1,4,1,1,1,1,1,2,2,0
27,19,1,0,2,0,1,1,4,1,1,2,2,2,2,1,0
17,14,5,2,2,1,1,1,4,1,1,2,2,2,2,1,0
55,22,1,1,2,0,1,1,2,1,1,2,2,2,2,1,1
10,7,5,7,2,7,1,1,0,1,1,2,2,2,1,2,0
63,20,3,5,2,0,1,3,2,1,1,2,2,2,1,1,0
57,21,1,1,2,0,1,1,2,1,1,2,2,2,1,1,1
47,20,1,0,2,0,1,1,4,1,1,2,2,2,1,1,1
49,14,2,0,1,0,1,1,4,1,1,1,1,2,2,1,0
76,21,1,1,1,0,1,1,4,1,1,1,2,2,2,1,0
63,17,3,0,1,0,1,1,4,1,1,1,1,1,2,1,0
61,16,1,0,2,0,1,1,4,1,1,2,2,2,1,2,0
68,21,1,1,1,0,1,1,2,1,1,1,2,2,1,1,1
25,18,5,2,2,0,1,1,4,4,1,2,2,2,1,1,1
49,23,3,0,2,0,1,1,4,1,1,2,2,2,1,9,0
57,16,1,1,2,0,1,1,4,1,1,2,2,2,2,1,0
28,16,1,1,1,0,1,3,4,4,1,2,1,1,1,1,0
23,17,5,2,1,0,1,1,4,1,1,2,2,1,2,3,0
8,5,5,2,2,1,1,1,0,1,1,2,2,2,2,1,0
71,15,1,1,1,0,1,1,4,1,1,2,2,2,2,1,0
21,19,5,17,2,0,1,1,4,1,1,2,2,2,2,1,0
31,18,1,0,2,0,1,1,4,1,1,2,2,2,1,1,1
52,21,1,1,2,0,1,1,3,1,1,2,2,2,1,1,1
66,21,1,0,1,0,1,1,3,1,1,2,2,2,1,1,0
18,18,5,17,2,0,1,3,4,1,1,2,2,2,2,1,0
54,18,1,0,1,0,1,1,4,1,1,2,2,2,2,2,0
33,20,5,0,2,0,1,1,4,1,1,2,2,2,1,2,1
39,21,1,0,2,0,1,1,4,1,1,2,2,2,2,1,1
45,20,1,0,2,0,1,1,4,4,1,2,2,2,2,1,1
30,21,1,1,2,0,1,3,4,1,1,2,2,2,1,1,1
25,20,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
38,14,5,2,2,0,1,1,4,4,1,2,2,2,2,2,0
44,21,1,0,2,0,1,1,4,2,1,2,2,2,2,1,1
20,16,5,0,2,0,1,1,4,1,1,2,2,2,2,1,1
45,20,1,1,2,0,1,1,4,4,1,2,2,2,1,1,1
76,16,1,1,1,0,1,1,4,2,1,2,2,2,1,1,0
33,16,1,1,2,0,1,1,4,4,1,2,2,2,1,1,1
80,20,1,1,1,0,1,1,4,4,1,2,2,1,2,1,0
49,15,5,2,1,0,1,1,4,2,1,2,2,1,1,1,0
48,23,3,0,2,0,1,1,4,2,1,2,2,2,2,1,1
53,21,1,0,2,0,1,1,4,1,1,2,2,2,2,1,1
69,17,1,1,2,0,1,1,4,1,1,2,2,2,2,1,0
14,11,5,3,2,1,1,1,0,4,1,2,2,2,1,1,0
16,13,5,2,2,4,1,1,0,1,1,2,2,2,2,1,0
7,4,5,2,2,7,1,1,0,1,1,2,2,2,1,2,0
47,17,4,15,1,0,1,3,4,1,1,2,2,2,1,9,0
17,14,5,2,2,1,5,1,4,1,2,2,2,2,1,2,0
25,21,3,0,2,0,1,1,4,4,1,2,2,2,2,1,1
13,9,5,2,2,1,1,1,0,4,1,2,2,2,1,1,0
60,10,3,0,2,0,1,1,4,4,1,2,2,2,2,1,1
13,10,5,2,2,7,1,1,0,4,1,2,2,2,2,1,0
7,4,5,2,2,2,1,1,0,1,1,2,2,2,2,1,0
55,16,1,0,2,0,1,1,2,1,1,2,2,2,1,2,0
31,16,1,0,2,0,1,1,4,4,1,2,2,2,2,1,0
69,23,1,1,2,0,1,1,4,1,1,2,2,2,1,1,0
12,9,5,16,1,0,1,3,0,1,1,2,2,1,1,1,0
34,21,1,0,2,0,1,1,4,4,1,2,2,2,2,1,1
45,16,5,2,1,0,1,1,4,1,1,2,2,1,1,1,0
32,19,1,0,2,0,1,1,4,2,1,2,2,2,2,1,0
45,16,3,0,2,0,1,1,4,1,1,2,2,2,2,1,1
31,20,5,2,2,0,1,1,4,4,1,2,2,2,1,1,1
55,23,1,0,2,0,3,1,4,2,1,2,2,2,2,1,1
43,18,3,2,2,0,1,1,4,1,1,2,2,2,1,1,0
6,4,5,2,2,1,1,1,0,4,1,2,2,2,1,1,0
4,1,5,2,2,7,1,1,0,4,1,2,2,0,1,9,0
34,16,5,0,2,0,1,1,4,1,1,2,2,2,2,2,1
62,21,1,1,2,0,1,1,4,4,1,2,2,2,1,1,1
70,17,3,0,2,0,1,1,4,1,1,2,2,2,1,1,0
58,16,1,0,2,0,2,1,4,2,1,2,2,2,2,1,1
93,16,2,16,1,0,1,1,4,1,1,1,1,1,2,1,0
82,20,1,0,1,0,1,1,2,2,1,1,2,2,1,9,0
26,21,1,1,2,0,1,1,4,4,1,2,2,2,1,1,1
37,22,1,0,2,0,1,1,4,1,1,2,2,2,2,1,1
46,16,5,2,2,0,1,1,4,1,1,2,2,2,1,2,0
48,16,5,2,2,0,1,1,4,2,1,2,2,2,2,1,0
84,17,2,0,1,0,1,3,4,1,1,1,1,2,2,3,0
35,17,1,1,2,0,1,1,4,3,1,2,2,2,1,1,1
18,18,5,17,2,0,1,3,4,1,1,2,2,2,2,1,0
23,20,5,2,2,0,1,1,4,2,1,2,2,2,2,1,1
23,16,5,15,2,0,1,1,4,1,1,2,2,2,2,1,0
44,20,3,0,2,0,1,1,2,4,1,2,2,2,2,2,0
41,16,1,1,2,0,1,1,4,4,1,2,2,2,1,1,1
85,21,1,1,1,0,1,1,2,1,1,1,2,2,1,1,0
37,16,3,16,1,0,1,1,4,4,1,2,2,1,2,1,0
11,9,5,2,2,1,1,1,0,2,1,2,2,2,2,1,0
93,20,2,0,1,0,1,1,2,1,1,1,2,2,1,1,0
30,19,5,2,2,0,1,1,4,1,1,2,2,2,2,2,1
56,21,1,1,2,0,1,1,4,1,1,2,2,2,1,1,1
40,19,1,0,2,0,1,1,4,1,1,2,2,2,2,1,1
63,16,5,17,1,0,1,1,4,1,1,1,2,1,2,2,0
2,0,5,2,2,1,1,3,0,1,1,2,2,0,2,1,0
30,22,1,0,2,0,1,1,4,3,1,2,2,2,1,1,1
46,19,3,0,2,0,1,1,4,1,1,2,2,2,2,2,1
22,16,5,2,2,0,1,1,4,1,1,2,2,2,2,2,1
11,7,5,2,2,1,1,1,0,1,1,2,2,2,1,1,0
54,22,1,1,1,0,1,1,4,1,1,2,2,1,2,1,0
15,13,5,2,2,1,1,1,0,2,1,2,2,2,1,2,0
42,20,1,0,2,0,1,1,4,1,1,2,2,2,2,1,1
34,22,1,1,2,0,1,1,4,4,1,2,2,2,2,1,1
57,20,3,6,2,0,1,1,4,4,1,2,2,2,2,1,1
58,21,1,0,2,0,1,1,4,1,1,2,2,2,1,1,1
20,13,5,10,2,0,1,1,4,1,1,2,2,2,1,2,0
67,14,3,0,2,0,1,1,4,1,1,2,2,2,2,1,0
45,20,1,0,2,0,1,1,4,2,1,2,2,2,2,1,1
30,16,1,0,2,0,5,1,4,1,2,2,2,2,1,2,1
38,20,3,2,1,0,1,1,4,1,1,2,2,1,1,2,0
42,16,1,1,2,0,4,1,4,1,2,2,2,2,2,6,1
13,10,5,2,2,7,1,3,0,4,1,2,2,2,1,1,0
8,4,5,2,2,2,1,1,0,1,1,2,2,2,1,1,0
26,19,5,7,2,0,1,1,4,2,1,2,2,2,1,9,1
82,17,1,0,2,0,1,1,2,4,1,2,2,2,1,1,1
33,16,5,15,1,0,1,1,4,4,1,1,2,1,1,1,1
7,4,5,2,2,2,1,1,0,4,1,2,2,2,2,1,0
32,18,5,0,2,0,1,1,4,4,1,2,2,2,2,1,1
42,12,3,16,2,0,1,1,4,4,1,2,2,2,1,1,0
63,18,1,0,2,0,1,1,4,1,1,2,2,2,2,2,1
67,16,1,0,2,0,1,3,4,1,1,2,2,2,1,1,0
31,22,1,1,2,0,1,3,4,1,1,2,2,2,2,1,1
19,19,5,12,2,0,1,3,4,2,1,2,2,2,1,1,0
0,0,5,2,2,2,1,0,0,4,1,2,2,0,2,1,0
33,20,1,1,2,0,1,1,4,1,1,2,2,2,2,1,1
39,20,1,0,2,0,1,1,4,1,1,2,2,2,2,1,0
77,22,3,10,2,0,1,1,4,1,1,2,2,2,2,2,0
41,22,1,0,2,0,1,3,4,1,1,2,2,2,2,1,0
54,20,1,1,2,0,1,1,4,2,1,2,2,2,1,1,0
30,21,1,1,2,0,1,1,4,4,1,2,2,2,1,1,1
64,21,1,1,1,0,1,1,2,1,1,2,2,1,1,1,1
40,16,1,0,2,0,1,1,4,4,1,2,2,2,2,1,1
44,11,3,2,2,0,1,1,4,1,1,2,2,2,1,1,0
10,6,5,7,2,8,1,1,0,1,1,2,2,2,2,1,0
54,18,1,0,2,0,1,1,2,1,1,2,2,2,1,2,1
72,18,1,1,1,0,1,1,4,1,1,2,1,1,2,1,0
88,13,2,17,1,0,1,3,4,1,1,1,2,1,2,1,0
53,21,5,12,2,0,1,1,4,4,1,2,2,2,1,1,1
3,2,5,2,2,1,1,1,0,4,1,2,2,0,2,1,0
40,19,5,0,1,0,1,1,4,1,1,2,2,1,2,9,0
4,2,5,2,2,7,1,1,0,4,1,2,2,0,1,1,0
37,19,1,16,1,0,1,3,4,2,1,1,2,2,1,2,0
81,11,2,0,1,0,1,1,2,4,1,1,2,2,1,1,0
41,15,1,0,2,0,1,1,4,4,1,2,2,2,1,9,1
9,6,5,2,2,1,1,1,0,4,1,2,2,2,2,1,0
57,17,1,1,2,0,1,1,4,4,1,2,2,2,1,1,1
1,0,5,2,2,2,1,3,0,4,1,2,2,0,1,1,0
10,8,5,7,2,0,1,1,0,4,1,2,2,2,2,1,0
69,9,3,15,1,0,1,1,2,1,1,2,2,1,1,1,0
9,6,5,7,2,7,1,1,0,1,1,2,2,2,1,2,0
69,19,1,0,2,0,1,1,4,2,1,2,2,2,2,1,1
59,20,4,0,1,0,1,3,4,2,1,1,2,2,2,1,1
28,16,5,0,2,0,1,1,4,1,1,2,2,2,1,2,1
23,16,5,2,2,0,1,1,4,4,1,2,2,2,1,1,0
25,21,5,17,2,0,1,1,4,2,1,2,2,2,1,1,1
7,4,5,2,2,7,1,1,0,1,1,2,2,2,1,2,0
70,21,3,0,2,0,1,1,2,1,1,2,2,2,1,1,0
62,19,1,1,2,0,1,1,4,1,1,2,2,2,1,1,1
78,18,2,0,2,0,5,1,4,1,2,2,2,2,2,1,0
38,20,5,0,2,0,1,1,4,2,1,2,2,2,1,1,1
27,18,5,0,2,0,1,3,4,4,1,2,2,2,1,2,1
65,21,1,1,2,0,1,1,4,1,1,2,2,2,2,1,0
63,21,5,12,2,0,1,1,4,2,1,2,2,2,2,1,1
8,4,5,7,2,0,1,1,0,3,1,2,2,2,1,2,0
23,18,5,0,2,0,1,3,4,2,1,2,2,2,1,1,1
32,19,1,0,2,0,1,1,4,1,1,2,2,2,1,2,1
53,17,3,16,2,0,1,1,4,1,1,2,2,2,1,1,0
17,14,5,2,2,1,1,1,4,1,1,2,2,2,1,1,0
76,22,1,0,2,0,1,1,3,1,1,2,2,2,1,1,0
54,17,5,5,2,0,1,1,4,1,1,2,2,2,1,1,1
53,15,1,1,2,0,1,1,4,4,1,2,2,2,2,1,0
79,8,4,17,1,0,1,1,4,1,1,2,2,2,2,1,0
55,23,3,0,2,0,1,1,4,1,1,2,2,2,2,1,1
73,21,1,1,2,0,1,1,4,1,1,2,2,2,1,1,0
46,16,1,0,2,0,1,3,4,1,1,2,2,2,2,1,1
73,24,1,0,2,0,1,1,2,1,1,2,2,2,1,1,0
17,14,5,16,2,0,1,3,4,4,1,2,2,2,1,1,0
11,7,5,2,2,1,1,1,0,1,1,2,2,2,1,2,0
25,19,5,0,2,0,1,1,4,1,1,2,2,2,1,1,1
0,0,5,2,2,2,1,0,0,4,1,2,2,0,2,1,0
66,20,1,0,2,0,1,1,4,1,1,2,2,2,1,1,1
65,16,1,0,2,0,1,1,4,1,1,2,2,2,1,1,0
55,15,1,1,2,0,1,1,4,1,1,2,2,2,1,2,1
38,16,4,0,2,0,1,1,4,1,1,2,2,2,2,2,0
47,20,1,1,2,0,1,1,4,4,1,2,2,2,2,1,1
32,22,1,0,2,0,1,1,4,2,1,2,2,2,2,1,1
41,17,1,1,2,0,1,1,4,2,1,2,2,2,1,2,1
